## location: Lindau
## highway: A96
## id: 9250
date,pkw,lkw,mot,various,total
2010-10-28,16691,5695,337,12276,34999
2010-10-29,23320,4861,524,11891,40596
2010-10-30,20289,1596,424,5459,27768
2010-10-31,17715,370,347,2843,21275
2010-11-01,17914,484,299,3127,21824
2010-11-02,16485,5285,357,11490,33617
2010-11-03,14906,5758,329,12246,33239
2010-11-04,15970,5776,350,12269,34365
2010-11-05,19545,5020,359,11221,36145
2010-11-06,16979,1597,377,5082,24035
2010-11-07,17078,442,369,2852,20741
2010-11-08,14316,5165,290,10983,30754
2010-11-09,13692,5454,283,11469,30898
2010-11-10,13794,5639,350,11817,31600
2010-11-11,15302,5431,296,11567,32596
2010-11-12,18687,4822,413,10823,34745
2010-11-13,14121,1473,318,4447,20359
2010-11-14,16385,429,331,2660,19805
2010-11-15,14725,5050,327,10837,30939
2010-11-16,12463,5454,284,11507,29708
2010-11-17,13312,5447,405,11815,30979
2010-11-18,14203,5190,474,11246,31113
2010-11-19,18218,4784,357,10782,34141
2010-11-20,14142,1340,299,4333,20114
2010-11-21,14876,437,267,2635,18215
2010-11-22,13758,5015,319,10933,30025
2010-11-23,12493,5173,309,10915,28890
2010-11-24,12841,5459,275,11499,30074
2010-11-25,15167,5383,320,11511,32381
2010-11-26,18812,4603,415,10391,34221
2010-11-27,14848,1453,366,4348,21015
2010-11-28,16167,590,403,2955,20115
2010-11-29,13779,4600,320,9960,28659
2010-11-30,13154,5088,284,10531,29057
2010-12-01,12409,5055,342,10391,28197
2010-12-02,13653,4959,350,10430,29392
2010-12-03,19160,4795,491,10912,35358
2010-12-04,16832,1686,402,4937,23857
2010-12-05,16993,698,383,3239,21313
2010-12-06,13880,4902,376,10475,29633
2010-12-07,14192,5620,288,11863,31963
2010-12-08,19070,1732,333,5410,26545
2010-12-09,15422,5717,410,11954,33503
2010-12-10,18379,4851,506,10981,34717
2010-12-11,15241,1708,358,4929,22236
2010-12-12,18587,763,397,3600,23347
2010-12-13,14674,4849,355,10494,30372
2010-12-14,13576,5461,334,11476,30847
2010-12-15,12829,5134,292,10524,28779
2010-12-16,14840,5338,347,11295,31820
2010-12-17,17404,4243,318,9623,31588
2010-12-18,20558,1798,469,6012,28837
2010-12-19,17416,641,411,3467,21935
2010-12-20,15037,4806,285,10403,30531
2010-12-21,15621,4806,330,10496,31253
2010-12-22,18018,4574,452,10432,33476
2010-12-23,23348,3203,602,8616,35769
2010-12-24,13055,716,328,2855,16954
2010-12-25,14295,236,402,2545,17478
2010-12-26,22294,519,421,4070,27304
2010-12-27,19396,2205,440,6567,28608
2010-12-28,17469,2366,440,6442,26717
2010-12-29,18309,2236,504,6322,27371
2010-12-30,24239,1967,526,6634,33366
2010-12-31,15178,631,390,3101,19300
2011-01-01,19855,250,554,3356,24015
2011-01-02,27244,941,388,6044,34617
2011-01-03,18949,2541,449,7186,29125
2011-01-04,17357,3211,371,8152,29091
2011-01-05,19188,3188,392,8338,31106
2011-01-06,16049,750,359,3562,20720
2011-01-07,20955,3122,454,8339,32870
2011-01-08,25479,1134,508,5519,32640
2011-01-09,22223,514,429,3818,26984
2011-01-10,13087,4173,364,8954,26578
2011-01-11,12314,4729,299,9934,27276
2011-01-12,12895,4813,334,10217,28259
2011-01-13,14005,4745,305,10356,29411
2011-01-14,18939,4209,427,10150,33725
2011-01-15,20353,1522,449,5480,27804
2011-01-16,19283,536,401,3408,23628
2011-01-17,14666,4671,337,10011,29685
2011-01-18,13959,4997,341,10604,29901
2011-01-19,14076,5209,374,11093,30752
2011-01-20,14858,4884,410,10709,30861
2011-01-21,20065,4427,456,10491,35439
2011-01-22,23136,1608,445,5946,31135
2011-01-23,19137,480,352,3528,23497
2011-01-24,13459,4680,304,9993,28436
2011-01-25,12923,5082,315,10643,28963
2011-01-26,14067,5144,376,11055,30642
2011-01-27,15970,4889,380,10817,32056
2011-01-28,21419,4469,494,10852,37234
2011-01-29,24395,1673,531,6224,32823
2011-01-30,22097,549,385,3938,26969
2011-01-31,15281,4804,321,10564,30970
2011-02-01,14124,4972,296,10620,30012
2011-02-02,14636,4932,322,10645,30535
2011-02-03,15647,4906,346,10691,31590
2011-02-04,21075,4529,504,10900,37008
2011-02-05,23655,1628,506,5950,31739
2011-02-06,21516,537,424,3853,26330
2011-02-07,15369,4846,328,10648,31191
2011-02-08,14429,5331,310,11395,31465
2011-02-09,15792,5452,332,11695,33271
2011-02-10,16098,5174,322,11291,32885
